,Designer Names,Plays,Number of Plays,Tony?,Number of Tony Nominations/Wins
0,james acheson,['hamlet'],1,0,0
1,kevin adams,"['the cher show', 'head over heels', 'spongebob squarepants', 'the terms of my surrender', 'hedwig and the angry inch', 'hands on a hardbody', 'on a clear day you can see forever', 'man and boy', 'hair', 'everyday rapture', 'american idiot', 'next to normal', 'hair', 'passing strange', 'the', 'spring awakening', 'latinologues', 'the good body', 'sexaholix', 'take me out', 'an almost holy picture', 'sexaholix', 'hedda gabler', 'a class act', 'getting and spending']",25,0,0
2,adrian,"['camelot', 'obsession', 'in bed we cry', 'slightly scandalous', 'mrs january and mr x', 'the magic ring', 'fashions of', 'music box revue']",8,0,0
3,ray aghayan,"['lorelei', 'on the town', 'applause', 'eddie fisher at the winter garden', 'the egg', 'vintage']",6,0,0
4,christopher akerlind,"['time and the conways', 'indecent', 'waitress', 'the last ship', 'rocky', 'end of the rainbow', 'the gershwins porgy and bess', 'superior donuts', 'top girls', '', 'talk radio', 'shining city', 'awake and sing', 'well', 'rabbit hole', 'a touch of the poet', 'in my life', 'the light in the piazza', 'reckless', 'the tale of the allergists wife', 'seven guitars', 'philadelphia here i come', 'the piano lesson']",23,0,0
5,theoni v aldredge,"['a chorus line', 'follies', 'gore vidals the best man', 'annie', 'the three sisters', 'taking sides', 'the school for scandal', 'the flowering peach', 'the high rollers social and pleasure club', 'nick nora', 'the secret garden', 'oh kay', 'gypsy', 'chess', 'teddy alice', 'dreamgirls', 'blithe spirit', 'the rink', 'the corn is green', 'la cage aux folles', 'private lives', 'merlin', 'a little family business', 'ghosts', 'dreamgirls', 'woman of the year', 'onward victoria', '', 'barnum', 'clothes for a summer hotel', 'the madwoman of central park west', 'i remember mama', 'break a leg', 'the grand tour', 'ballroom', 'annie', 'the eccentricities of a nightingale', 'threepenny opera', 'the belle of amherst', 'mrs warrens profession', 'trelawny of the wells', 'a chorus line', 'little black sheep', 'a dolls house', 'in praise of love', 'mert phil', 'short eyes', 'an american millionaire', 'dance of death', 'find your way home', 'the au pair man', 'boom boom room', 'nash at nine', 'no hard feelings', 'much ado about nothing', 'that championship season', 'voices', 'sticks and bones', 'the sign in sidney brusteins window', 'two gentlemen of verona', 'the incomparable max', 'the gingham dog', 'billy', 'a way of life', 'king lear', 'the only game in town', 'weekend', 'portrait of a queen', 'i never sang for my father', 'before you go', 'the trial of lee harvey oswald', 'daphne in cottage d', 'little murders', 'illya darling', 'that summer  that fall', 'you know i cant hear you when the waters running', 'a delicate balance', 'a time for singing', 'happily never after', 'first one asleep whistle', 'utbu', 'cactus flower', 'the playroom', 'skyscraper', 'minor miracle', 'ready when you are cb', 'poor richard', 'ps i love you', 'luv', 'the three sisters', 'anyone can whistle', 'any wednesday', 'strange interlude', 'tchin tchin', 'mr president', 'i can get it for you wholesale', 'first love', 'the devils advocate', 'mary mary', 'the best man', 'a distant bell', 'silent night lonely night', 'flowering cherry']",103,0,0
6,cris alexander,"['two by two', 'finians rainbow', 'auntie mame', 'wonderful town', 'present laughter', 'on the town']",6,0,0
7,ren allio,"['tartuffe', 'george dandin', 'the three musketeers']",3,0,0
8,ralph alswang,"['piafa remembrance', 'fun city', 'gilbert becaud sings love', 'halfway up the tree', 'judy garland at home at the palace', 'at the drop of another hat', 'gilbert becaud on broadway', 'hostile witness', 'the world of charles aznavour', 'ken murrays hollywood', 'beyond the fringe', 'comedy in music opus', 'the committee', 'fair game for lovers', 'rugantino', 'man and boy', 'the advocate', 'karmon israeli dancers', 'the school for scandal', 'beyond the fringe', 'come blow your horn', 'belafonte at the palace', 'the girls against the boys', 'at the drop of a hat', 'a raisin in the sun', 'les ballets africains', 'epitaph for george dillon', 'epitaph for george dillon', 'love me little', 'sunrise at campobello', 'the first gentleman', 'hide and seek', 'the tunnel of love', 'uncle willie', 'the best house in naples', 'affair of honor', 'the hot corner', 'time limit', 'deadfall', 'catch a star', 'the southwest corner', 'the rainmaker', 'fragile fox', 'the magic and the loss', 'sing till tomorrow', 'the ladies of the corridor', 'anna russells little show', 'the pink elephant', 'the bat', 'be your age', 'twos company', 'iolanthe', 'trial by jury hms pinafore', 'the pirates of penzance', 'the mikado', 'conscience', 'the number', 'love and let love', 'out west of eighth', 'courtin time', 'king lear', 'lets make an opera', 'prides crossing', 'legend of sarah', 'daphne laureola', 'julius caesar', 'tickets please', 'peter pan', 'how long till summer', 'trial by jury hms pinafore', 'the pirates of penzance', 'the mikado', 'jenny kissed me', 'set my people free', 'a story for strangers', 'small wonder', 'seeds in the wind', 'the plays the thing', 'the last dance', 'strange bedfellows', 'the gentleman from athens', 'our lan', 'a young mans fancy', 'the whole world over', 'lysistrata', 'swan song', 'i like it here', 'home of the brave', 'beggars are coming to town', 'winged victory', 'comes the revelation']",91,0,0
9,david amram,"['on the waterfront', 'medea', 'harold and maude', 'that summer  that fall', 'tartuffe', 'incident at vichy', 'the changeling', 'but for whom charlie', 'the passion of josef d', 'after the fall', 'hamlet', 'henry iv part ii', 'henry iv part i', 'caligula', 'peer gynt', 'lysistrata', 'the great god brown', 'kataki', 'the beaux stratagem', 'the rivalry', 'jb', 'the power and the glory', 'the family reunion']",23,0,0
10,john murray anderson,"['john murray andersons almanac', 'twos company', 'leonard sillmans new faces of', 'heaven on earth', 'three to make ready', 'the firebrand of florence', 'laffing room only', 'ziegfeld follies of', 'sunny river', 'all in fun', 'two for the show', 'one for the money', 'ziegfeld follies of', 'ziegfeld follies of', 'jumbo', 'thumbs up', 'life begins at', 'keep moving', 'ziegfeld follies of', 'murray andersons almanac', 'hello daddy', 'dearest enemy', 'music box revue', 'the greenwich village follies', 'the greenwich village follies', 'jack and jill', 'the greenwich village follies', 'the greenwich village follies', 'the greenwich village follies of', 'whats in a name', 'the greenwich village follies']",31,0,0
11,mariano andreu,['much ado about nothing'],1,0,0
12,waldo angelo,"['darling of the day', 'ziegfeld follies of', 'bells are ringing', 'wonderful town', 'in any language', 'shuffle along', 'call me madam']",7,0,0
13,kathleen ankers,"['my sister my sister', 'mr pickwick', 'fancy meeting you again']",3,0,0
14,michael annals,"['benefactors', 'noises off', 'captain brassbounds conversion', 'beggar on horseback', 'hamlet', 'morning noon and night', 'her first roman', 'staircase', 'saint joan', 'those that play the clowns', 'the royal hunt of the sun', 'macbeth']",12,0,0
15,theodore antoniou,"['oedipus rex', 'the bacchae']",2,0,0
16,emile ardolino,['oh calcutta'],1,0,0
17,will steven armstrong,"['the front page', 'the front page', 'zelda', 'forty carats', 'something different', 'tonight at', 'a touch of the poet', 'the imaginary invalid', 'pousse caf', '', 'the lion in winter', 'the wayward stork', 'i had a ball', 'ready when you are cb', 'a girl could get lucky', 'the three sisters', 'the passion of josef d', 'nobody loves an albatross', 'one flew over the cuckoos nest', 'semi detached', 'the rehearsal', 'rattle of a simple man', 'dear me the sky is falling', 'tchin tchin', 'i can get it for you wholesale', 'subways are for sleeping', 'kwamina', 'a cook for mr general', 'carnival', 'henry iv part ii', 'henry iv part i', 'caligula', 'peer gynt', 'the andersonville trial', 'lysistrata', 'the great god brown', 'the beaux stratagem', 'whoop up', 'the gazebo', 'the power and the glory', 'the family reunion', 'the world of suzie wong', 'oh captain']",43,1,3
18,boris aronson,"['fiddler on the roof', 'jerome robbins broadway', 'cabaret', 'fiddler on the roof', 'fiddler on the roof', 'pacific overtures', 'dreyfus in rehearsal', 'a little night music', 'the great god brown', 'the creation of the world and other business', 'follies', 'company', 'zorba', 'the price', 'cabaret', 'incident at vichy', 'fiddler on the roof', 'andorra', 'a gift of time', 'the garden of sweets', 'do re mi', 'semi detached', 'a loss of roses', 'flowering cherry', 'jb', 'the cold wind and the warm', 'the firstborn', 'the rope dancers', 'orpheus descending', 'a hole in the head', 'small war on murray hill', 'girls of summer', 'the diary of anne frank', 'a view from the bridge  a memory of two mondays', 'once upon a tailor', 'bus stop', 'mademoiselle colombe', 'the frogs of spring', 'my', 'the crucible', 'ive got sixpence', 'i am a camera', 'barefoot in athens', 'the rose tattoo', 'the country girl', 'season in the sun', 'the bird cage', 'detective story', 'love life', 'the survivors', 'skipper next to god', 'gypsy lady', 'truckline cafe', 'the desert song', 'the assassin', 'the stranger', 'sadie thompson', 'south pacific', 'whats up', 'the family', 'the russian people', 'r u r', 'cafe crown', 'clash by night', 'the night before christmas', 'cabin in the sky', 'heavenly express', 'the unconquered', 'ladies and gentlemen', 'awake and sing', 'the gentle people', 'the merchant of yonkers', 'western waters', 'paradise lost', 'weep for the virgins', 'the body beautiful', 'awake and sing', 'awake and sing', 'three men on a horse', 'battleship gertie', 'small miracle', 'walk a little faster']",82,1,21
19,martin aronstein,"['peter pan', 'peter pan', 'the twilight of the golds', 'accomplice', 'broadway', 'pygmalion', 'wild honey', 'benefactors', 'a woman of independent means', 'beethovens tenth', 'noises off', 'whodunnit', 'ghosts', 'medea', 'mixed couples', 'division street', 'blackstone', 'home', 'the grand tour', 'players', 'hello dolly', 'dirty linen new found land', 'bing crosby on broadway', 'i have a dream', 'des journees entieres dans le arbres', 'mrs warrens profession', 'the poison tree', 'hamlet', 'kennedys children', 'little black sheep', 'a dolls house', 'the ritz', 'fame', 'mert phil', 'short eyes', 'an american millionaire', 'my fat friend', 'what the wine sellers buy', 'next time ill sing to you', 'scapin', 'the au pair man', 'measure for measure', 'the beggars opera', 'the three sisters', 'boom boom room', 'smith', 'nash at nine', 'tricks', 'ambassador', 'much ado about nothing', 'hurry harry', 'dont play us cheap', 'different times', 'the little black book', 'promenade all', 'sugar', 'moonchildren', 'aint supposed to die a natural death', 'the incomparable max', 'and miss reardon drinks a little', 'four on a garden', 'the gingerbread lady', 'park', 'grin and bare it  postcards', 'the chinese and dr fish', 'paris is out', 'no place to be somebody', 'la strada', 'buck white', 'the penny wars', 'billy', 'the dozens', 'play it again sam', 'forty carats', 'promises promises', 'morning noon and night', 'her first roman', 'im solomon', 'george m', 'the education of hyman kaplan', 'the guide', 'how now dow jones', 'song of the grasshopper', 'galileo', 'the east wind', 'the astrakhan coat', 'the persecution and assassination of jean paul marat as performed by the inmates of the asylum of charenton under the direction of the marquis de sade', 'those that play the clowns', 'the investigation', 'slapstick tragedy', 'the condemned of altona', 'cactus flower', 'the royal hunt of the sun', 'the impossible years', 'tiny alice', 'i was dancing', 'a severed head', 'the milk train doesnt stop here anymore', 'arturo ui']",99,0,0
20,colleen atwood,['breakfast at tiffanys'],1,0,0
